english,turkish
you,Sen
i,Ben
the,bir
to,ile
a,bir
is,dır-dir
it,o
and,ve
that,şu
it,o
of,ile ilgili
is,dır-dir
in,içinde
what,ne
we,biz
me,Ben
this,Bu
he,O
for,için
my,Benim
on,Açık
have,sahip olmak
your,senin
do,Yapmak
was,olmuş
am,Ben
no,HAYIR
not,Olumsuz
be,olmak
are,var olan
wear,giymek
re,tekrar
know,Bilmek
can,olabilmek
with,ile
but,Ancak
all,Tümü
so,Bu yüzden
just,Sadece
there,Orası
here,Burada
they,Onlar
like,beğenmek
will,irade
get,elde etmek
she,o
go,Gitmek
if,eğer
right,Sağ
out,dışarı
about,hakkında
up,yukarı
at,-den
him,o
now,Şimdi
oh,ah
one,bir
come,Gelmek
well,Peki
her,o
how,Nasıl
yeah,Evet
ve,Vezik
will,irade
got,var
want,istek
think,düşünmek
as,gibi
see,görmek
did,yaptı
good,iyi
who,kim
why,neden
from,itibaren
let,izin vermek
his,onun
yes,evet
when,ne zaman
going,giden
time,zaman
an,bir
okay,tamam
back,geri
look,bakmak
us,biz
would,istemek
them,onlara
where,Neresi
were,olmuş
take,almak
then,Daha sonra
had,vardı
or,veya
been,olmuştur
our,bizim
gonna,sevişmek
tell,söylemek
really,Gerçekten
man,Adam
some,bazı
say,söylemek
hey,Hey
could,abilir
d,D
didn,yapmadı
by,ile
need,ihtiyaç
something,bir şey
has,sahip olmak
too,fazla
more,Daha
way,yol
down,aşağı
make,yapmak
very,çok
never,Asla
only,sadece
people,insanlar
over,üzerinde
because,çünkü
little,biraz
please,lütfen
love,aşk
should,meli
mean,Anlam
said,dadi
sorry,üzgünüm
give,vermek
off,kapalı
thank,teşekkür etmek
any,herhangi
two,iki
even,eşit
much,fazla
doing,yapmak
sure,elbette
thing,şey
these,bunlar
help,yardım
first,Birinci
into,içine
anything,herhangi bir şey
still,Hala
find,bulmak
life,hayat
nothing,Hiçbir şey
sir,Sayın
day,gün
god,Tanrı
work,iş
their,onların
uh,uh
again,Tekrar
maybe,Belki
must,mutlak
before,önce
other,diğer
wait,Beklemek
stop,durmak
call,Arama
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,Ev
night,gece
put,koymak
great,Harika
those,onlar
last,son
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay
new,yeni
things,şeyler
always,Her zaman
keep,kale
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,değil
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,Çocuklar
father,baba
guy,adam
made,yapılmış
old,eskimiş
which,Hangi
big,büyük
