english,turkish
you,Sen
i,Ben
the,bir
to,ile
a,bir
is,dır-dir
and,ve
that,şu
it,o
of,ile ilgili
is,dır-dir
in,içinde
what,ne
we,biz
me,Ben
this,Bu
for,için
my,Benim
on,Açık
have,sahip olmak
your,senin
do,Yapmak
am,Ben
no,HAYIR
not,Olumsuz
are,var olan
wear,giymek
re,tekrar
know,Bilmek
can,olabilmek
with,ile
but,Ancak
so,Bu yüzden
just,Sadece
there,Orası
here,Burada
they,Onlar
like,beğenmek
will,irade
she,o
go,Gitmek
right,Sağ
out,dışarı
about,hakkında
up,yukarı
at,-den
him,o
now,Şimdi
oh,ah
one,bir
come,Gelmek
well,Peki
how,Nasıl
yeah,Evet
ve,Vezik
will,irade
got,var
want,istek
think,düşünmek
as,gibi
did,yaptı
good,iyi
who,kim
why,neden
from,itibaren
let,izin vermek
his,onun
yes,evet
when,ne zaman
going,giden
time,zaman
an,bir
back,geri
look,bakmak
us,biz
would,istemek
where,Neresi
were,olmuş
take,almak
then,Daha sonra
had,vardı
or,veya
been,olmuştur
our,bizim
gonna,sevişmek
tell,söylemek
really,Gerçekten
man,Adam
some,bazı
say,söylemek
hey,Hey
could,abilir
d,D
by,ile
need,ihtiyaç
something,bir şey
has,sahip olmak
too,fazla
more,Daha
way,yol
down,aşağı
make,yapmak
very,çok
never,Asla
only,sadece
people,insanlar
over,üzerinde
because,çünkü
little,biraz
please,lütfen
love,aşk
should,meli
mean,Anlam
said,dadi
sorry,üzgünüm
give,vermek
thank,teşekkür etmek
any,herhangi
two,iki
even,eşit
much,fazla
sure,elbette
thing,şey
these,bunlar
first,Birinci
into,içine
anything,herhangi bir şey
life,hayat
sir,Sayın
day,gün
god,Tanrı
work,iş
their,onların
maybe,Belki
must,mutlak
before,önce
other,diğer
wait,Beklemek
stop,durmak
call,Arama
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
home,Ev
night,gece
put,koymak
great,Harika
those,onlar
last,son
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay
new,yeni
things,şeyler
always,Her zaman
keep,kale
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,değil
name,isim
place,yer
ever,durmadan
guys,Çocuklar
father,baba
guy,adam
made,yapılmış
old,eskimiş
big,büyük
